Didok number;Stop name;Date ;Public holiday;Weekday;Nationaler Feiertag;Service Typ;Service;Closed;From 1;until1;From 1;until3;From 1;until3;Company;Schlüssel;OPUIC
3204;Horgen;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3204-2024-05-01T00:00:00-9999;8503204
3206;Wädenswil;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:00;17:00;;;SBB;3206-2024-05-20T00:00:00-9999;8503206
3209;Pfäffikon SZ;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3209-2024-08-15T00:00:00-9999;8503209
3209;Pfäffikon SZ;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3209-2024-05-20T00:00:00-9999;8503209
3209;Pfäffikon SZ;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3209-2024-04-01T00:00:00-9999;8503209
3220;Lachen;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3220-2024-08-15T00:00:00-9999;8503220
3220;Lachen;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;3220-2024-03-31T00:00:00-9999;8503220
3220;Lachen;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3220-2024-03-29T00:00:00-9999;8503220
3230;Glarus;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3230-2024-04-01T00:00:00-9999;8503230
3283;Einsiedeln;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;;08:00;12:00;13:00;16:00;;;SOB;3283-2024-05-09T00:00:00-9999;8503283
3283;Einsiedeln;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:00;16:00;;;SOB;3283-2024-04-01T00:00:00-9999;8503283
3286;Samstagern;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SOB;3286-2024-08-01T00:00:00-9999;8503286
3287;Burghalden;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SOB;3287-2024-05-20T00:00:00-9999;8503287
3287;Burghalden;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SOB;3287-2024-05-01T00:00:00-9999;8503287
3301;Pfäffikon ZH;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3301-2024-08-01T00:00:00-9999;8503301
3301;Pfäffikon ZH;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3301-2024-05-20T00:00:00-9999;8503301
3301;Pfäffikon ZH;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3301-2024-04-01T00:00:00-9999;8503301
3305;Effretikon;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3305-2024-04-01T00:00:00-9999;8503305
3315;Dielsdorf;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3315-2024-05-09T00:00:00-9999;8503315
3315;Dielsdorf;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3315-2024-03-29T00:00:00-9999;8503315
3400;Bülach;2024-05-19;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;3400-2024-05-19T00:00:00-9999;8503400
3400;Bülach;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3400-2024-05-01T00:00:00-9999;8503400
3400;Bülach;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3400-2024-03-29T00:00:00-9999;8503400
3424;Schaffhausen;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;;09:00;18:00;;;;;SBB;3424-2024-05-01T00:00:00-9999;8503424
3424;Schaffhausen;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;09:00;18:00;;;;;SBB;3424-2024-03-29T00:00:00-9999;8503424
